#Frame,Mode1,Mode2,Mode3
905,-141.866,49.353,-27.669
906,-137.327,43.97,-16.02
907,-133.88,40.274,-25.559
908,-132.425,58.29,-27.432
909,-119.631,52.498,-39.061
910,-127.123,67.855,-44.333
911,-128.898,61.922,-44.009
912,-125.274,56.231,-30.998
913,-137.284,75.084,-14.984
914,-132.583,67.436,-31.072
915,-117.345,83.119,-21.401
916,-126.613,99.424,-30.681
917,-107.112,119.137,-36.816
918,-127.384,86.565,-33.186
919,-97.615,81.364,-41.441
920,-86.341,76.599,-61.429
921,-86.146,47.642,-62.039
922,-110.884,61.22,-53.622
923,-94.26,71.564,-62.78
924,-104.913,53.687,-67.282
925,-105.432,53.317,-63.563
926,-86.605,59.178,-70.611
927,-80.626,75.199,-70.962
928,-94.356,85.173,-60.371
929,-98.007,57.564,-55.576
930,-123.833,72.187,-37.443
931,-133.837,63.694,-46.238
932,-111.6,51.171,-57.31
933,-97.986,86.351,-62.638
934,-110.615,62.013,-64.993
935,-113.6,16.287,-84.528
936,-103.589,23.258,-70.119
937,-84.741,12.752,-75.853
938,-92.723,36.417,-78.301
939,-84.202,46.323,-89.262
940,-105.732,36.529,-93.361
941,-112.458,21.07,-73.263
942,-105.408,-24.613,-101.544
943,-113.49,4.716,-78.363
944,-115.429,30.933,-61.124
945,-142.172,47.254,-56.684
946,-133.123,44.863,-55.523
947,-144.593,58.347,-45.145
948,-162.661,62.62,-51.106
949,-141.988,61.154,-51.68
950,-140.358,79.361,-50.004
951,-133.98,90.995,-42.04
952,-134.385,110.779,-34.387
953,-130.418,97.235,-53.689
954,-129.347,99.088,-50.411
955,-112.213,121.116,-56.465
956,-112.04,117.5,-49.947
957,-119.897,107.685,-42.611
958,-124.669,94.816,-39.449
959,-123.735,91.947,-48.562
960,-120.419,95.739,-57.141
961,-127.973,102.382,-46.909
962,-120.267,117.32,-46.764
963,-115.16,109.516,-49.578
964,-131.506,123.898,-35.085
965,-105.95,130.629,-43.035
966,-121.297,117.576,-25.171
967,-107.045,133.861,-24.52
968,-115.084,97.334,-40.963
969,-108.578,110.713,-28.893
970,-109.391,106.109,-39.132
971,-107.94,132.082,-29.596
972,-117.917,121.835,-37.465
973,-108.205,117.975,-32.126
974,-98.762,108.463,-34.742
975,-112.148,101.45,-38.89
976,-124.118,119.88,-38.398
977,-99.666,119.909,-48.381
978,-95.108,119.405,-45.08
979,-96.811,125.784,-35.886
980,-109.267,116.057,-44.552
981,-128.335,113.774,-40.33
982,-106.654,134.742,-42.354
983,-113.501,128.788,-42.442
984,-118.343,118.495,-38.504
985,-117.796,113.593,-52.507
986,-105.121,111.733,-40.441
987,-117.956,122.398,-29.268
988,-106.965,121.109,-32.544
989,-113.127,127.155,-35.082
990,-114.963,117.406,-37.315
991,-99.948,117.287,-26.346
992,-101.033,112.686,-33.218
993,-106.533,118.815,-28.942
994,-114.088,113.522,-38.61
995,-105.372,122.954,-42.269
996,-106.199,127.837,-38.258
997,-88.753,122.226,-43.552
998,-97.172,124.016,-23.258
999,-102.11,114.119,-44.599
1000,-108.263,125.907,-23.219
